ID_Orden,ID_Equipo,Fecha,Tipo_Mantenimiento,Costo_Mantenimiento,Duracion_Horas,Ubicacion,Frecuencia de mantenimiento correctivo
1,1,2021-01-09,Correctivo,3992,20,Ubicacion_C,67
2,1,2021-01-20,Correctivo,1689,21,Ubicacion_C,67
3,1,2021-02-02,Correctivo,2787,7,Ubicacion_C,67
4,1,2021-02-14,Correctivo,2857,9,Ubicacion_C,67
5,1,2021-02-15,Correctivo,2421,2,Ubicacion_C,67
6,1,2021-03-18,Correctivo,4527,14,Ubicacion_C,67
7,1,2021-04-25,Correctivo,2235,22,Ubicacion_C,67
8,1,2021-05-16,Correctivo,1069,21,Ubicacion_C,67
9,1,2021-07-15,Correctivo,4101,10,Ubicacion_C,67
10,1,2021-07-18,Correctivo,2754,18,Ubicacion_C,67
11,1,2021-08-02,Correctivo,4045,10,Ubicacion_C,67
12,1,2021-08-17,Correctivo,4686,7,Ubicacion_C,67
13,1,2021-08-28,Correctivo,4240,7,Ubicacion_C,67
14,1,2021-09-29,Correctivo,2058,19,Ubicacion_C,67
15,1,2021-10-03,Correctivo,1137,22,Ubicacion_C,67
16,1,2021-10-25,Correctivo,1199,6,Ubicacion_C,67
17,1,2021-11-25,Correctivo,2897,20,Ubicacion_C,67
18,1,2021-12-12,Correctivo,4248,18,Ubicacion_C,67
19,1,2021-12-31,Correctivo,2933,9,Ubicacion_C,67
20,1,2022-01-31,Correctivo,3576,1,Ubicacion_C,67
21,1,2022-03-30,Correctivo,2710,7,Ubicacion_C,67
22,1,2022-04-05,Correctivo,3580,20,Ubicacion_C,67
23,1,2022-04-22,Correctivo,2169,17,Ubicacion_C,67
24,1,2022-05-28,Correctivo,960,13,Ubicacion_C,67
25,1,2022-06-16,Correctivo,1528,11,Ubicacion_C,67
26,1,2022-07-11,Correctivo,4595,22,Ubicacion_C,67
27,1,2022-08-01,Correctivo,4035,8,Ubicacion_C,67
28,1,2022-08-26,Correctivo,848,6,Ubicacion_C,67
29,1,2022-09-02,Correctivo,2975,9,Ubicacion_C,67
30,1,2022-09-19,Correctivo,4712,8,Ubicacion_C,67
31,1,2022-09-22,Correctivo,601,21,Ubicacion_C,67
32,1,2022-10-12,Correctivo,2409,22,Ubicacion_C,67
33,1,2022-10-25,Correctivo,4672,17,Ubicacion_C,67
34,1,2022-11-12,Correctivo,1559,14,Ubicacion_C,67
35,1,2022-11-30,Correctivo,563,18,Ubicacion_C,67
36,1,2022-12-16,Correctivo,3399,18,Ubicacion_C,67
37,1,2022-12-24,Correctivo,686,1,Ubicacion_C,67
38,1,2023-01-26,Correctivo,4041,20,Ubicacion_C,67
39,1,2023-01-31,Correctivo,4192,19,Ubicacion_C,67
40,1,2023-02-21,Correctivo,4817,18,Ubicacion_C,67
41,1,2023-03-31,Correctivo,639,15,Ubicacion_C,67
42,1,2023-04-08,Correctivo,3799,20,Ubicacion_C,67
43,1,2023-04-25,Correctivo,3540,8,Ubicacion_C,67
44,1,2023-05-14,Correctivo,4410,15,Ubicacion_C,67
45,1,2023-07-02,Correctivo,1983,23,Ubicacion_C,67
46,1,2023-07-24,Correctivo,2898,17,Ubicacion_C,67
47,1,2023-08-04,Correctivo,3058,15,Ubicacion_C,67
48,1,2023-08-07,Correctivo,4003,11,Ubicacion_C,67
49,1,2023-08-26,Correctivo,4435,15,Ubicacion_C,67
50,1,2023-09-02,Correctivo,2029,4,Ubicacion_C,67
51,1,2023-09-16,Correctivo,4766,19,Ubicacion_C,67
52,1,2024-01-01,Correctivo,3268,11,Ubicacion_C,67
53,1,2024-01-11,Correctivo,4274,23,Ubicacion_C,67
54,1,2024-01-14,Correctivo,4790,16,Ubicacion_C,67
55,1,2024-01-29,Correctivo,1735,6,Ubicacion_C,67
56,1,2024-03-12,Correctivo,1482,12,Ubicacion_C,67
57,1,2024-04-02,Correctivo,1592,2,Ubicacion_C,67
58,1,2024-04-07,Correctivo,4096,23,Ubicacion_C,67
59,1,2024-04-28,Correctivo,1636,22,Ubicacion_C,67
60,1,2024-09-09,Correctivo,1613,1,Ubicacion_C,67
61,1,2024-09-18,Correctivo,4782,19,Ubicacion_C,67
62,1,2024-09-23,Correctivo,2215,8,Ubicacion_C,67
63,1,2024-10-06,Correctivo,2689,14,Ubicacion_C,67
64,1,2024-10-14,Correctivo,3789,16,Ubicacion_C,67
65,1,2024-10-19,Correctivo,2634,19,Ubicacion_C,67
66,1,2024-10-27,Correctivo,919,19,Ubicacion_C,67
67,1,2024-12-31,Correctivo,3567,13,Ubicacion_C,67
68,1,2021-02-12,Preventivo,196,2,Ubicacion_C,67
69,1,2021-03-19,Preventivo,212,2,Ubicacion_C,67
70,1,2021-04-21,Preventivo,774,2,Ubicacion_C,67
71,1,2021-05-31,Preventivo,210,2,Ubicacion_C,67
72,1,2021-07-10,Preventivo,301,1,Ubicacion_C,67
73,1,2021-08-24,Preventivo,446,2,Ubicacion_C,67
